real_eye_x,real_eye_y,real_eye_z,real_marker_x,real_marker_y,real_marker_z,timestamp
156.354,138.927,819.778,255,150,92.023,-0.003
156.354,138.927,819.778,255,150,92.023,0.034
156.354,138.927,819.778,255,150,92.023,0.079
156.354,138.927,819.778,255,150,92.023,0.114
156.354,138.927,819.778,255,150,92.023,0.157
156.354,138.927,819.778,255,150,92.023,0.199
156.354,138.927,819.778,255,150,92.023,0.235
156.354,138.927,819.778,255,150,92.023,0.281
156.354,138.927,819.778,255,150,92.023,0.337
156.354,138.927,819.778,255,150,92.023,0.4
156.354,138.927,819.778,255,150,92.023,0.436
156.354,138.927,819.778,255,150,92.023,0.473
156.354,138.927,819.778,255,150,92.023,0.51
156.354,138.927,819.778,255,150,92.023,0.555
156.354,138.927,819.778,255,150,92.023,0.606
156.354,138.927,819.778,255,150,92.023,0.641
156.354,138.927,819.778,255,150,92.023,0.686
156.354,138.927,819.778,255,150,92.023,0.737
156.354,138.927,819.778,255,150,92.023,0.768
156.354,138.927,819.778,255,150,92.023,0.813
156.354,138.927,819.778,255,150,92.023,0.847
156.354,138.927,819.778,255,150,92.023,0.888
156.354,138.927,819.778,255,150,92.023,0.931
156.354,138.927,819.778,255,150,92.023,0.963
156.354,138.927,819.778,255,150,92.023,1.017
156.354,138.927,819.778,255,150,92.023,1.06
156.354,138.927,819.778,255,150,92.023,1.103
156.354,138.927,819.778,255,150,92.023,1.146
156.354,138.927,819.778,255,150,92.023,1.188
156.354,138.927,819.778,255,150,92.023,1.223
156.354,138.927,819.778,255,150,92.023,1.267
156.354,138.927,819.778,255,150,92.023,1.301
156.354,138.927,819.778,255,150,92.023,1.345
156.354,138.927,819.778,255,150,92.023,1.377
156.354,138.927,819.778,255,150,92.023,1.431
156.354,138.927,819.778,255,150,92.023,1.475
156.354,138.927,819.778,255,150,92.023,1.517
156.354,138.927,819.778,255,150,92.023,1.558
156.354,138.927,819.778,255,150,92.023,1.615
156.354,138.927,819.778,255,150,92.023,1.658
156.354,138.927,819.778,255,150,92.023,1.691
156.354,138.927,819.778,255,150,92.023,1.747
156.354,138.927,819.778,255,150,92.023,1.781
156.354,138.927,819.778,255,150,92.023,1.823
156.354,138.927,819.778,255,150,92.023,1.876
156.354,138.927,819.778,255,150,92.023,1.921
