real_eye_x,real_eye_y,real_eye_z,real_marker_x,real_marker_y,real_marker_z,timestamp
156.354,144.927,819.778,205,100,92.023,0
156.354,144.927,819.778,205,100,92.023,0.042
156.354,144.927,819.778,205,100,92.023,0.084
156.354,144.927,819.778,205,100,92.023,0.128
156.354,144.927,819.778,205,100,92.023,0.176
156.354,144.927,819.778,205,100,92.023,0.21
156.354,144.927,819.778,205,100,92.023,0.257
156.354,144.927,819.778,205,100,92.023,0.295
156.354,144.927,819.778,205,100,92.023,0.339
156.354,144.927,819.778,205,100,92.023,0.383
156.354,144.927,819.778,205,100,92.023,0.419
156.354,144.927,819.778,205,100,92.023,0.475
156.354,144.927,819.778,205,100,92.023,0.519
156.354,144.927,819.778,205,100,92.023,0.554
156.354,144.927,819.778,205,100,92.023,0.602
156.354,144.927,819.778,205,100,92.023,0.644
156.354,144.927,819.778,205,100,92.023,0.678
156.354,144.927,819.778,205,100,92.023,0.731
156.354,144.927,819.778,205,100,92.023,0.767
156.354,144.927,819.778,205,100,92.023,0.805
156.354,144.927,819.778,205,100,92.023,0.851
156.354,144.927,819.778,205,100,92.023,0.895
156.354,144.927,819.778,205,100,92.023,0.94
156.354,144.927,819.778,205,100,92.023,0.98
156.354,144.927,819.778,205,100,92.023,1.005
156.354,144.927,819.778,205,100,92.023,1.038
156.354,144.927,819.778,205,100,92.023,1.066
156.354,144.927,819.778,205,100,92.023,1.112
156.354,144.927,819.778,205,100,92.023,1.158
156.354,144.927,819.778,205,100,92.023,1.201
156.354,144.927,819.778,205,100,92.023,1.247
156.354,144.927,819.778,205,100,92.023,1.28
156.354,144.927,819.778,205,100,92.023,1.329
156.354,144.927,819.778,205,100,92.023,1.363
156.354,144.927,819.778,205,100,92.023,1.418
156.354,144.927,819.778,205,100,92.023,1.46
156.354,144.927,819.778,205,100,92.023,1.492
156.354,144.927,819.778,205,100,92.023,1.538
156.354,144.927,819.778,205,100,92.023,1.58
156.354,144.927,819.778,205,100,92.023,1.629
156.354,144.927,819.778,205,100,92.023,1.671
156.354,144.927,819.778,205,100,92.023,1.72
156.354,144.927,819.778,205,100,92.023,1.761
156.354,144.927,819.778,205,100,92.023,1.815
