88,160.2219,142.57618,812.0116933
215,161.2219,142.57618,812.0116933
311,161.2219,141.57618,812.0116933
406,159.2219,141.57618,812.0116933
516,159.2219,143.57618,812.0116933
594,162.2219,143.57618,812.0116933
793,162.2219,140.57618,812.0116933
921,158.2219,140.57618,812.0116933
1003,158.2219,144.57618,812.0116933
1148,163.2219,144.57618,812.0116933
1293,163.2219,139.57618,812.0116933
1445,157.2219,139.57618,812.0116933
1544,157.2219,145.57618,812.0116933
1766,164.2219,145.57618,812.0116933
2013,164.2219,138.57618,812.0116933
2219,156.2219,138.57618,812.0116933
2480,156.2219,146.57618,812.0116933
2672,164.2219,146.57618,812.0116933
