344,160.3566,142.52178,812.0116933
643,161.3566,142.52178,812.0116933
935,161.3566,141.52178,812.0116933
1203,159.3566,141.52178,812.0116933
1458,159.3566,143.52178,812.0116933
1718,162.3566,143.52178,812.0116933
1973,162.3566,140.52178,812.0116933
2268,158.3566,140.52178,812.0116933
2533,158.3566,144.52178,812.0116933
2795,163.3566,144.52178,812.0116933
3052,163.3566,139.52178,812.0116933
3473,157.3566,139.52178,812.0116933
3753,157.3566,145.52178,812.0116933
4121,164.3566,145.52178,812.0116933
4397,164.3566,138.52178,812.0116933
4688,156.3566,138.52178,812.0116933
4987,156.3566,146.52178,812.0116933
5307,164.3566,146.52178,812.0116933
