real_eye_x,real_eye_y,real_eye_z,real_marker_x,real_marker_y,real_marker_z,timestamp
162.354,138.927,819.778,205,200,92.023,-0.016
162.354,138.927,819.778,205,200,92.023,0.04
162.354,138.927,819.778,205,200,92.023,0.087
162.354,138.927,819.778,205,200,92.023,0.132
162.354,138.927,819.778,205,200,92.023,0.176
162.354,138.927,819.778,205,200,92.023,0.218
162.354,138.927,819.778,205,200,92.023,0.26
162.354,138.927,819.778,205,200,92.023,0.304
162.354,138.927,819.778,205,200,92.023,0.338
162.354,138.927,819.778,205,200,92.023,0.393
162.354,138.927,819.778,205,200,92.023,0.437
162.354,138.927,819.778,205,200,92.023,0.463
162.354,138.927,819.778,205,200,92.023,0.497
162.354,138.927,819.778,205,200,92.023,0.524
162.354,138.927,819.778,205,200,92.023,0.571
162.354,138.927,819.778,205,200,92.023,0.607
162.354,138.927,819.778,205,200,92.023,0.659
162.354,138.927,819.778,205,200,92.023,0.712
162.354,138.927,819.778,205,200,92.023,0.751
162.354,138.927,819.778,205,200,92.023,0.807
162.354,138.927,819.778,205,200,92.023,0.851
162.354,138.927,819.778,205,200,92.023,0.885
162.354,138.927,819.778,205,200,92.023,0.953
162.354,138.927,819.778,205,200,92.023,0.995
162.354,138.927,819.778,205,200,92.023,1.04
162.354,138.927,819.778,205,200,92.023,1.084
162.354,138.927,819.778,205,200,92.023,1.128
162.354,138.927,819.778,205,200,92.023,1.171
162.354,138.927,819.778,205,200,92.023,1.204
162.354,138.927,819.778,205,200,92.023,1.25
162.354,138.927,819.778,205,200,92.023,1.286
162.354,138.927,819.778,205,200,92.023,1.32
162.354,138.927,819.778,205,200,92.023,1.341
162.354,138.927,819.778,205,200,92.023,1.374
162.354,138.927,819.778,205,200,92.023,1.41
162.354,138.927,819.778,205,200,92.023,1.459
162.354,138.927,819.778,205,200,92.023,1.503
162.354,138.927,819.778,205,200,92.023,1.542
162.354,138.927,819.778,205,200,92.023,1.59
162.354,138.927,819.778,205,200,92.023,1.632
162.354,138.927,819.778,205,200,92.023,1.679
162.354,138.927,819.778,205,200,92.023,1.736
162.354,138.927,819.778,205,200,92.023,1.791
162.354,138.927,819.778,205,200,92.023,1.843
162.354,138.927,819.778,205,200,92.023,1.877
162.354,138.927,819.778,205,200,92.023,1.917
162.354,138.927,819.778,205,200,92.023,1.978
162.354,138.927,819.778,205,200,92.023,2.02
162.354,138.927,819.778,205,200,92.023,2.063
162.354,138.927,819.778,205,200,92.023,2.112
162.354,138.927,819.778,205,200,92.023,2.149
162.354,138.927,819.778,205,200,92.023,2.193
162.354,138.927,819.778,205,200,92.023,2.25
162.354,138.927,819.778,205,200,92.023,2.294
162.354,138.927,819.778,205,200,92.023,2.335
162.354,138.927,819.778,205,200,92.023,2.379
162.354,138.927,819.778,205,200,92.023,2.418
162.354,138.927,819.778,205,200,92.023,2.466
162.354,138.927,819.778,205,200,92.023,2.512
162.354,138.927,819.778,205,200,92.023,2.548
162.354,138.927,819.778,205,200,92.023,2.597
162.354,138.927,819.778,205,200,92.023,2.641
162.354,138.927,819.778,205,200,92.023,2.685
162.354,138.927,819.778,205,200,92.023,2.729
162.354,138.927,819.778,205,200,92.023,2.786
162.354,138.927,819.778,205,200,92.023,2.833
162.354,138.927,819.778,205,200,92.023,2.869
162.354,138.927,819.778,205,200,92.023,2.914
162.354,138.927,819.778,205,200,92.023,2.948
162.354,138.927,819.778,205,200,92.023,2.993
162.354,138.927,819.778,205,200,92.023,3.046
162.354,138.927,819.778,255,100,92.023,3.094
162.354,138.927,819.778,255,100,92.023,3.142
162.354,138.927,819.778,255,100,92.023,3.2
162.354,138.927,819.778,255,100,92.023,3.248
162.354,138.927,819.778,255,100,92.023,3.282
162.354,138.927,819.778,255,100,92.023,3.325
162.354,138.927,819.778,255,100,92.023,3.38
162.354,138.927,819.778,255,100,92.023,3.424
162.354,138.927,819.778,255,100,92.023,3.472
162.354,138.927,819.778,255,100,92.023,3.518
162.354,138.927,819.778,255,100,92.023,3.544
162.354,138.927,819.778,255,100,92.023,3.579
162.354,138.927,819.778,255,100,92.023,3.602
162.354,138.927,819.778,255,100,92.023,3.637
162.354,138.927,819.778,255,100,92.023,3.684
162.354,138.927,819.778,255,100,92.023,3.729
162.354,138.927,819.778,255,100,92.023,3.782
162.354,138.927,819.778,255,100,92.023,3.825
162.354,138.927,819.778,255,100,92.023,3.862
162.354,138.927,819.778,255,100,92.023,3.906
162.354,138.927,819.778,255,100,92.023,3.949
162.354,138.927,819.778,255,100,92.023,3.992
162.354,138.927,819.778,255,100,92.023,4.037
162.354,138.927,819.778,255,100,92.023,4.08
162.354,138.927,819.778,255,100,92.023,4.122
162.354,138.927,819.778,255,100,92.023,4.159
162.354,138.927,819.778,255,100,92.023,4.201
162.354,138.927,819.778,255,100,92.023,4.257
162.354,138.927,819.778,255,100,92.023,4.317
162.354,138.927,819.778,255,100,92.023,4.354
162.354,138.927,819.778,255,100,92.023,4.399
162.354,138.927,819.778,255,100,92.023,4.446
162.354,138.927,819.778,255,100,92.023,4.484
162.354,138.927,819.778,255,100,92.023,4.547
162.354,138.927,819.778,255,100,92.023,4.592
162.354,138.927,819.778,255,100,92.023,4.642
162.354,138.927,819.778,255,100,92.023,4.677
162.354,138.927,819.778,255,100,92.023,4.738
162.354,138.927,819.778,255,100,92.023,4.798
162.354,138.927,819.778,255,100,92.023,4.853
162.354,138.927,819.778,255,100,92.023,4.887
162.354,138.927,819.778,255,100,92.023,4.932
162.354,138.927,819.778,255,100,92.023,4.986
162.354,138.927,819.778,255,100,92.023,5.02
